job title,company,location,job type,date,job skills
Architecture Engineer (Ex. Construction) - Alexandria,Confidential,"Ameria, Alexandria, Egypt ",Full Time,55 minutes ago,Entry Level · 1 - 4 Yrs of Exp · Engineering - Construction/Civil/Architecture · Creative/Design/Art · Architecture · Construction · AutoCAD · Engineering · Interior Design · Contracting · Urban Development · Technical Office Engineering
Sales Representative,Digital Corner,"Sheikh Zayed, Giza, Egypt ",Full Time,30 minutes ago,Entry Level · 1 - 5 Yrs of Exp · females_preferred · Customer Service/Support · Marketing/PR/Advertising · Sales/Retail · Customer Service · Sales · sales skills · Sales Target · Representative · Sales representative · Marketing
Customer Service Representative (English - US),Sutherland,"Cairo, Egypt ",Full TimeShift Based,18 minutes ago,Entry Level · Customer Service/Support · Customer Care · Customer Support · Customer Service · English · Fluency in English · Hospitality · Technical Support · CSR · Customer Service Representative
Guest Experience Associate,Brassbell,"Zamalek, Cairo, Egypt ",Full Time,2 hours ago,Experienced · 1 - 10 Yrs of Exp · Hospitality/Hotels/Food Services · Customer Service · Customer Support · Hospitality · Hotels
Junior HR Specialist,Just HR,"Nasr City, Cairo, Egypt ",Full Time,2 hours ago,Entry Level · 0 - 1 Yrs of Exp · Human Resources · excel · English · Human Resources (HR) · Recruitment
Customer Service Advisor ( Elite Segment - English Account ),Etisalat Egypt,"Maadi, Cairo, Egypt ",Full Time,3 hours ago,Entry Level · 1+ Yrs of Exp · Customer Service/Support · Customer Care · Customer Support · Customer Service · English · Call Center · Customer Relations · Customer Satisfaction · Customer Retention · Customer Experience
VOIS - Ireland account - Customer Care Consultant - Cairo\Giza Residents ONLY - Work From Home,_VOIS Egypt,"Cairo, Egypt ",Full TimeShift BasedWork From Home,3 hours ago,Entry Level · 0 - 6 Yrs of Exp · Customer Service/Support · Call Center · Customer Service · Customer Care · Customer Support · English · Communication skills · Call Centre · Communication · c1
Product Owner,ServerHub,"Cairo, Egypt ",Full Time,4 hours ago,Entry Level · 1 - 5 Yrs of Exp · IT/Software Development · Project/Program Management · Engineering - Telecom/Technology · Computer Science · Information Technology (IT) · Product · Software Development · Technology · Research · Information technology
Online - English Instructor,English Zone,"6th of October, Giza, Egypt ",Full TimePart TimeWork From Home,5 hours ago,Experienced · 1 - 3 Yrs of Exp · Education/Teaching · Training/Instructor · Instruction · learning · English Teaching · English Education · English Instructing · Communication · Communication skills
Barista,Confidential,"Heliopolis, Cairo, Egypt ",Full Time,5 hours ago,Experienced · 1 - 3 Yrs of Exp · Hospitality/Hotels/Food Services · Operations/Management · Food Services · Hospitality · hotel
3D Harness Designer,Confidential,"New Cairo, Cairo, Egypt ",Full Time,5 hours ago,"Experienced · 2 - 3 Yrs of Exp · Engineering - Construction/Civil/Architecture · Designer · 3D Harness · Mechatronics · Mechanical Engineering · Mechanical, Electrical, and Plumbing (MEP)"
E component Controls design engineer,Confidential,"New Cairo, Cairo, Egypt ",Full Time,5 hours ago,"Experienced · 5 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · engineer · Engineering · controls · Mechatronics Engineering · Mechanical Engineering · Mechanical, Electrical, and Plumbing (MEP)"
Controls Integration Engineer,Confidential,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,"Experienced · 5 - 6 Yrs of Exp · Engineering - Construction/Civil/Architecture · IT/Software Development · Engineering - Mechanical/Electrical · Engineering · engineer · Integration · controls · Mechatronics Engineering · Mechatronics · Mechanical, Electrical, and Plumbing (MEP)"
Structure simulation engineer,Confidential,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · Simulation · Structure · Engineering · engineer · AutoCAD · Mechanical Engineering · Mechatronics Engineering · Mechatronics
Sales Representative,General Labs,"Alexandria, Egypt ",Full TimeWork From Home,6 hours ago,Experienced · 2 - 4 Yrs of Exp · Sales/Retail · Sales · Sales Skills · Sales Target · CRM · Engineering · B2B · MS Office · Customer Service · Communication
"Meshing Engineer 3D, 2D",Confidential,"New Cairo, Cairo, Egypt ",Full Time,6 hours ago,Experienced · 5 - 8 Yrs of Exp · Engineering - Construction/Civil/Architecture · 3D · 2D · Engineering · engineer · Mechatronics Engineering · Mechatronics
Digital Marketing & Performance Manager,La Casa Egypt,"Cairo, Egypt ",Full Time,6 hours ago,Manager · 6+ Yrs of Exp · Creative/Design/Art · Marketing/PR/Advertising · Strategy/Consulting · E-Marketing · Digital Marketing · Online Marketing · Internet Marketing · Facebook Marketing · Electronic Marketing · Marketing Research
Junior Mechanical Engineer,General Labs,"Alexandria, Egypt ",Full Time,6 hours ago,Entry Level · 0 - 2 Yrs of Exp · Engineering - Mechanical/Electrical · Engineering · Mechanical Engineering · P&amp;IDs · Pumps · Vales · Design · Drawing · Electrical Engineering · Mechanical
